metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1765812150,1.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_duration,1765812150,0.761870,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_blocked,1765812150,1.398492,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_connecting,1765812150,0.318413,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_tls_handshaking,1765812150,0.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_sending,1765812150,0.059355,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_waiting,1765812150,0.577757,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_receiving,1765812150,0.124758,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_failed,1765812150,0.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
checks,1765812150,1.000000,status was 200,,,,,,,,default,,,,,,,
vus,1765812151,1.000000,,,,,,,,,,,,,,,,
vus_max,1765812151,20.000000,,,,,,,,,,,,,,,,
http_reqs,1765812151,1.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_duration,1765812151,0.849990,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_blocked,1765812151,0.277729,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_connecting,1765812151,0.195428,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_tls_handshaking,1765812151,0.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_sending,1765812151,0.085015,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_waiting,1765812151,0.619277,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_receiving,1765812151,0.145698,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_failed,1765812151,0.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
checks,1765812151,1.000000,status was 200,,,,,,,,default,,,,,,,
data_sent,1765812151,84.000000,,,,,,,,,default,,,,,,,
data_received,1765812151,40.000000,,,,,,,,,default,,,,,,,
iteration_duration,1765812151,1002.730319,,,,,,,,,default,,,,,,,
iterations,1765812151,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1765812151,1.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_duration,1765812151,0.590723,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_blocked,1765812151,0.182136,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_connecting,1765812151,0.138093,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_tls_handshaking,1765812151,0.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_sending,1765812151,0.035253,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_waiting,1765812151,0.481857,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_receiving,1765812151,0.073613,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_failed,1765812151,0.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
checks,1765812151,1.000000,status was 200,,,,,,,,default,,,,,,,
vus,1765812152,2.000000,,,,,,,,,,,,,,,,
vus_max,1765812152,20.000000,,,,,,,,,,,,,,,,
data_sent,1765812152,84.000000,,,,,,,,,default,,,,,,,
data_received,1765812152,40.000000,,,,,,,,,default,,,,,,,
iteration_duration,1765812152,1002.005713,,,,,,,,,default,,,,,,,
iterations,1765812152,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1765812152,1.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_duration,1765812152,0.670236,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_blocked,1765812152,0.336671,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_connecting,1765812152,0.254920,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_tls_handshaking,1765812152,0.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_sending,1765812152,0.067709,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_waiting,1765812152,0.510665,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_receiving,1765812152,0.091862,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_failed,1765812152,0.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
checks,1765812152,1.000000,status was 200,,,,,,,,default,,,,,,,
data_sent,1765812152,84.000000,,,,,,,,,default,,,,,,,
data_received,1765812152,40.000000,,,,,,,,,default,,,,,,,
iteration_duration,1765812152,1001.928201,,,,,,,,,default,,,,,,,
iterations,1765812152,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1765812152,1.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_duration,1765812152,0.622111,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_blocked,1765812152,0.181974,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_connecting,1765812152,0.134576,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_tls_handshaking,1765812152,0.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_sending,1765812152,0.029413,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_waiting,1765812152,0.508384,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_receiving,1765812152,0.084314,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_failed,1765812152,0.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
checks,1765812152,1.000000,status was 200,,,,,,,,default,,,,,,,
vus,1765812153,2.000000,,,,,,,,,,,,,,,,
vus_max,1765812153,20.000000,,,,,,,,,,,,,,,,
data_sent,1765812153,84.000000,,,,,,,,,default,,,,,,,
data_received,1765812153,40.000000,,,,,,,,,default,,,,,,,
iteration_duration,1765812153,1002.283422,,,,,,,,,default,,,,,,,
iterations,1765812153,1.000000,,,,,,,,,default,,,,,,,
data_sent,1765812153,84.000000,,,,,,,,,default,,,,,,,
data_received,1765812153,40.000000,,,,,,,,,default,,,,,,,
iteration_duration,1765812153,1001.181158,,,,,,,,,default,,,,,,,
iterations,1765812153,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1765812153,1.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_duration,1765812153,0.736130,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_blocked,1765812153,0.310631,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_connecting,1765812153,0.222728,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_tls_handshaking,1765812153,0.000000,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_sending,1765812153,0.064121,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_waiting,1765812153,0.560577,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
http_req_receiving,1765812153,0.111432,,,,true,,GET,GetFeed,HTTP/1.1,default,,200,,,GetFeed,,
